City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
427,Biltine,TD,77.32,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
428,Bethel,US,86.63,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
431,Sauk Rapids,US,88.02,few clouds,45.5919,-94.1661,Best Western Plus Kelly Inn
432,Nishihara,JP,81.68,light rain,26.1842,127.7558,Minshuku Agaihama
435,Yining,CN,75.2,clear sky,29.0361,114.5636,Xiushui Hotel
436,Russell,US,88.38,scattered clouds,32.3502,-85.1999,Macs
437,Singaraja,ID,77.97,broken clouds,-8.112,115.0882,Puri Bagus Lovina Resort
440,Mogadishu,SO,76.66,light rain,2.0371,45.3438,Hotel Juba
445,Zhenjiang,CN,78.8,few clouds,32.2092,119.4342,JI Hotel Zhenjiang Railway Station
446,Maceo,CO,81.27,light rain,6.552,-74.7874,Finca crisal
448,Soller,ES,79.03,scattered clouds,39.7662,2.7152,Hotel Marina & Wellness Spa
451,Orchard Homes,US,79.29,clear sky,46.8633,-114.0484,Broadway Inn Missoula
453,Ciudad Bolivar,VE,85.33,moderate rain,8.1222,-63.5497,Hotel Edi
454,Praia Da Vitoria,PT,73.65,light intensity shower rain,38.7333,-27.0667,Hotel Branco I
457,Camargo,MX,89.49,broken clouds,27.6667,-105.1667,Hotel Santa Fe
458,Esmeraldas,BR,82.51,clear sky,-19.7625,-44.3139,Forasteiro Pousada
460,Baghmara,IN,85.48,overcast clouds,23.795,86.2085,Shankar tea shop
462,Sabang,ID,83.48,overcast clouds,5.8933,95.3214,Hotel Citra
463,Wanning,CN,78.53,light rain,18.8003,110.3967,Paradise Hotel
464,Nueva Gerona,CU,87.19,few clouds,21.8833,-82.8,Casa de la Alegria
469,Naze,JP,77.92,broken clouds,28.3667,129.4833,Shishime Hotel
473,El Alto,PE,71.26,scattered clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
474,Tamale,GH,76.01,broken clouds,9.4008,-0.8393,Tap Hotel
476,Langsa,ID,73.94,overcast clouds,4.4683,97.9683,OYO 3328 Hotel Mori
478,Benito Juarez,MX,75.99,clear sky,19.385,-99.165,Hotel Beverly
483,Turan,VN,80.58,scattered clouds,16.0678,108.2208,Grand Mercure Danang
